"filename", "language", "TypeScript", "Less", "HTML", "CSS", "comment", "blank", "total"
"d:\Ang\App-MP\src\app\share\mp-ui\mp-slider\mp-slider.component.less", "Less", 0, 47, 0, 0, 1, 11, 59
"d:\Ang\App-MP\src\app\share\mp-ui\mp-slider\mp-slider.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 6, 24
"d:\Ang\App-MP\src\app\share\mp-ui\mp-slider\mp-slider.component.ts", "TypeScript", 194, 0, 0, 0, 53, 39, 286
"d:\Ang\App-MP\src\app\share\mp-ui\mp-slider\mp-slider.module.ts", "TypeScript", 19, 0, 0, 0, 7, 4, 30
"d:\Ang\App-MP\src\app\share\mp-ui\mp-ui.module.ts", "TypeScript", 22, 0, 0, 0, 7, 3, 32
"d:\Ang\App-MP\src\app\share\mp-ui\single-sheet\single-sheet.component.html", "HTML", 0, 0, 13, 0, 7, 0, 20
"d:\Ang\App-MP\src\app\share\mp-ui\single-sheet\single-sheet.component.less", "Less", 0, 47, 0, 0, 0, 1, 48
"d:\Ang\App-MP\src\app\share\mp-ui\single-sheet\single-sheet.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 6, 24
"d:\Ang\App-MP\src\app\share\mp-ui\single-sheet\single-sheet.component.ts", "TypeScript", 18, 0, 0, 0, 10, 7, 35
"d:\Ang\App-MP\src\app\share\pipes\format-time.pipe.spec.ts", "TypeScript", 7, 0, 0, 0, 0, 2, 9
"d:\Ang\App-MP\src\app\share\pipes\format-time.pipe.ts", "TypeScript", 16, 0, 0, 0, 7, 4, 27
"d:\Ang\App-MP\src\app\share\play-count.pipe.spec.ts", "TypeScript", 7, 0, 0, 0, 0, 2, 9
"d:\Ang\App-MP\src\app\share\play-count.pipe.ts", "TypeScript", 13, 0, 0, 0, 7, 4, 24
"d:\Ang\App-MP\src\app\share\share.module.ts", "TypeScript", 38, 0, 0, 0, 7, 2, 47
"d:\Ang\App-MP\src\app\store\actions\player.action.ts", "TypeScript", 8, 0, 0, 0, 10, 2, 20
"d:\Ang\App-MP\src\app\store\index.ts", "TypeScript", 23, 0, 0, 0, 8, 4, 35
"d:\Ang\App-MP\src\app\store\reducers\player.reducer.ts", "TypeScript", 29, 0, 0, 0, 11, 4, 44
"d:\Ang\App-MP\src\app\store\selectors\player.selector.ts", "TypeScript", 10, 0, 0, 0, 9, 2, 21
"d:\Ang\App-MP\src\app\utils\array.ts", "TypeScript", 16, 0, 0, 0, 10, 4, 30
"d:\Ang\App-MP\src\app\utils\number.ts", "TypeScript", 9, 0, 0, 0, 8, 3, 20
"d:\Ang\App-MP\src\assets\styles\index.less", "Less", 0, 4, 0, 0, 1, 0, 5
"d:\Ang\App-MP\src\assets\styles\layout.less", "Less", 0, 168, 0, 0, 5, 29, 202
"d:\Ang\App-MP\src\assets\styles\minireset.css", "CSS", 0, 0, 0, 71, 0, 9, 80
"d:\Ang\App-MP\src\assets\styles\mixins.less", "Less", 0, 15, 0, 0, 2, 2, 19
"d:\Ang\App-MP\src\assets\styles\varibles.less", "Less", 0, 30, 0, 0, 0, 5, 35
"d:\Ang\App-MP\src\assets\styles\zorro.less", "Less", 0, 359, 0, 0, 115, 71, 545
"d:\Ang\App-MP\src\environments\environment.prod.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"d:\Ang\App-MP\src\environments\environment.ts", "TypeScript", 3, 0, 0, 0, 11, 3, 17
"d:\Ang\App-MP\src\index.html", "HTML", 0, 0, 13, 0, 0, 1, 14
"d:\Ang\App-MP\src\main.ts", "TypeScript", 9, 0, 0, 0, 0, 4, 13
"d:\Ang\App-MP\src\polyfills.ts", "TypeScript", 1, 0, 0, 0, 47, 6, 54
"d:\Ang\App-MP\src\styles.less", "Less", 0, 2, 0, 0, 6, 4, 12
"d:\Ang\App-MP\src\test.ts", "TypeScript", 18, 0, 0, 0, 4, 5, 27
"Total", "-", 1529, 1401, 273, 71, 791, 543, 4608
